breadth,depth,diversity,quality_score,avg_relevance_score,std_relevance_score,relevance_scores
5,2,0.0,8.0,8.2,0.4472135954999579,9.0|8.0|8.0|8.0|8.0
10,2,0.0,8.0,8.0,0.5,8.0|9.0|8.0|8.0|8.0|8.0|8.0|7.0|8.0
15,2,0.0,8.0,7.428571428571429,1.0163498575623617,8.0|8.0|8.0|8.0|8.0|8.0|5.0|8.0|6.0|8.0|6.0|8.0|7.0|8.0
20,2,0.0,7.0,7.5625,0.963932916061417,7.0|7.0|8.0|8.0|9.0|8.0|9.0|8.0|8.0|6.0|8.0|6.0|6.0|8.0|7.0|8.0
10,1,0.0,8.0,8.25,0.4629100498862757,8.0|9.0|8.0|9.0|8.0|8.0|8.0|8.0
10,2,0.0,8.0,8.125,0.6408699444616558,8.0|9.0|9.0|8.0|8.0|8.0|7.0|8.0
10,3,0.0,8.0,7.875,0.8345229603962802,8.0|8.0|9.0|8.0|8.0|6.0|8.0|8.0
10,4,0.0,8.0,7.7,1.2516655570345725,8.0|9.0|8.0|9.0|5.0|8.0|8.0|6.0|8.0|8.0
10,5,0.0,8.0,7.444444444444445,1.2360330811826106,8.0|9.0|5.0|8.0|8.0|6.0|8.0|7.0|8.0
10,2,0.0,8.0,8.11111111111111,0.6009252125773316,8.0|9.0|9.0|8.0|8.0|8.0|8.0|7.0|8.0
10,2,0.33,8.0,8.11111111111111,0.3333333333333333,8.0|8.0|9.0|8.0|8.0|8.0|8.0|8.0|8.0
10,2,0.66,8.0,6.5,1.35400640077266,5.0|7.0|5.0|9.0|5.0|8.0|6.0|6.0|7.0|7.0
10,2,1.0,8.0,7.3,1.4181364924121764,8.0|8.0|8.0|9.0|4.0|8.0|7.0|6.0|7.0|8.0
